,x,y,STATION_NAME,FILENAME,PROVINCE_CODE,min_date,max_date,mean_temp_coverage,max_temp_coverage,total_precipitation_coverage,direction_max_gust_coverage,speed_max_gust_coverage,min_rel_humiudity_coverage,max_rel_humiudity_coverage
13,-108.83472333333332,52.35974,SCOTT CDA,station_3259_data.csv,SK,1911-05-01,2022-01-08,0.9955427892234548,0.9974494849445324,0.9947503961965135,0.2000792393026941,0.2000792393026941,0.16786351030110935,0.16781398573692552
14,-100.65,52.03333333333333,COWAN,station_3766_data.csv,MB,1984-06-01,2022-01-06,0.996355906468266,0.9975706043121774,0.9997722441542666,0.0,0.0,0.0,0.0
15,-67.71555555555555,46.71222222222222,AROOSTOOK,station_6109_data.csv,NB,1929-06-01,2022-01-01,0.9910893071686023,0.9940261647310106,0.9946602589774396,0.0,0.0,0.0,0.0
16,-76.252805,45.032245,DRUMMOND CENTRE,station_4268_data.csv,ON,1984-06-01,2022-01-08,0.9906137713573366,0.9927403387841901,0.9981667522182298,0.0,0.0,0.0,0.0
17,-128.63416666666666,54.05361111111111,KITIMAT TOWNSITE,station_402_data.csv,BC,1954-01-01,2022-01-04,0.9763228850690934,0.9815048870913381,0.9772918773171554,0.0,0.0,0.0,0.0
18,-107.02445277777778,49.09916666666667,MANKOTA,station_3186_data.csv,SK,1962-08-01,2022-01-08,0.9572385107030537,0.9652023942375977,0.960687836055595,0.1464441513645125,0.1464441513645125,0.07035609211727711,0.07060971898143453
19,-127.65333583333332,50.53361388888889,QUATSINO,station_271_data.csv,BC,1895-06-01,2022-01-04,0.9891751164702658,0.9916187083219147,0.9938110897962912,0.0,0.0,0.0,0.0
21,-103.98333333333332,50.56666666666667,QU'APPELLE 1,station_2992_data.csv,SK,1962-07-05,2022-01-08,0.9995377859949156,0.9998151143979662,0.9998151143979662,0.0,0.0,0.0,0.0
22,-71.0,48.333333333333336,BAGOTVILLE A,station_5889_data.csv,QC,1942-09-01,2022-01-08,0.9853910254175238,0.9947003242564764,0.9933754053205955,0.8032495380216869,0.8085840800529968,0.8495171019141592,0.8495868344897319
23,-112.86805555555556,53.68277777777778,ELK ISLAND NAT PARK,station_1873_data.csv,AB,1981-11-01,2022-01-08,0.9892489632928889,0.9915527568729842,0.9867915834741208,0.3874212870526801,0.3877284595300261,0.27791429887882046,0.27783750575948396
24,-97.80713888888889,50.013444444444445,MARQUETTE,station_3619_data.csv,MB,1969-11-01,2022-01-06,0.9976331360946745,0.9979020979020979,0.9994620763851533,0.0,0.0,0.0,0.0
25,-128.71944444444443,52.26166666666666,MCINNES ISLAND,station_409_data.csv,BC,1954-02-01,2022-01-06,0.9712000699239577,0.975264399965038,0.9902980508696793,0.19111091687789528,0.19111091687789528,0.0,0.0
26,-107.73333333333332,50.266666666666666,SWIFT CURRENT CDA,station_3157_data.csv,SK,1959-01-01,2022-01-08,0.997475626740947,0.9976061977715878,0.9954300139275766,0.21404944289693595,0.21404944289693595,0.14798050139275765,0.14802402506963785
27,-119.28952777777778,52.12902777777778,BLUE RIVER A,station_1237_data.csv,BC,1969-12-01,2022-01-08,0.9996804941690186,0.9998402470845092,0.9999467490281697,5.32509718302876e-05,5.32509718302876e-05,0.0,0.0
28,-76.69030166666667,44.42806333333333,HARTINGTON IHD,station_4287_data.csv,ON,1967-12-01,2022-01-07,0.9991257392645925,0.9991771663666752,0.9991771663666752,0.0,0.0,0.0,0.0
29,-105.25,51.41666666666666,LAST MOUNTAIN CS,station_2942_data.csv,SK,1975-05-01,2022-01-08,0.9648677373641946,0.9751417099669344,0.992914501653283,0.27804676428908837,0.27999527633443555,0.1759565422768068,0.17577940481813892
30,-126.54310916666668,49.38330944444444,ESTEVAN POINT,station_244_data.csv,BC,1908-07-01,2022-01-08,0.9949112952561037,0.9951059451643401,0.9985540292531006,0.09893776764362383,0.09893776764362383,0.0003892998164729544,0.0003892998164729544
31,-121.68612194444444,52.183615,SPOKIN LAKE 4E,station_650_data.csv,BC,1983-06-01,2022-01-07,0.9990764421710713,0.9994316567206593,0.9992185279909065,0.0,0.0,0.0,0.0
32,-127.94277777777778,53.56305555555556,KEMANO,station_396_data.csv,BC,1951-08-01,2022-01-09,0.9681056040667404,0.9744188906653548,0.9853236584265977,0.0,0.0,0.0,0.0
33,-123.16119444444443,49.78320833333333,SQUAMISH AIRPORT,station_336_data.csv,BC,1982-05-01,2022-01-08,0.9922777236677334,0.9932517044663977,0.984416307221372,0.31118686517322947,0.31118686517322947,0.23083344928342842,0.23041602894114377
34,-121.62666666666668,55.68722222222223,CHETWYND A,station_1400_data.csv,BC,1982-10-01,2022-01-08,0.9861081427655481,0.9862506233525682,0.9911662036047588,0.0031345729144404144,0.0031345729144404144,0.0,0.0
35,-125.77250555555555,49.08222222222222,TOFINO A,station_277_data.csv,BC,1942-07-01,2022-01-08,0.9728369809777051,0.9735733278789118,0.9981182245858049,0.28075271016567804,0.28075271016567804,0.2892616076907343,0.2892616076907343
36,-124.51222222222222,49.352777777777774,LITTLE QUALICUM HATCHERY,station_181_data.csv,BC,1981-01-01,2022-01-05,0.9598944204120536,0.971918762372608,0.9862893173986362,0.0,0.0,0.0,0.0
37,-127.8638611111111,51.60352777777778,ADDENBROKE ISLAND,station_374_data.csv,BC,1978-01-01,2022-01-08,0.9997472513585239,0.999936812839631,0.9997472513585239,0.0,0.0,0.0,0.0
38,-60.41666666666666,53.31666666666667,GOOSE A,station_6777_data.csv,NL,1941-12-01,2022-01-08,0.9998972391587313,0.9999314927724875,1.0,0.8156470507638556,0.8202712886209496,0.26639035418236623,0.26639035418236623
39,-79.25,42.88333333333333,PORT COLBORNE,station_4671_data.csv,ON,1964-07-01,2022-01-07,0.9991026471907872,0.9995014706615485,0.9997008823969291,0.0,0.0,0.0,0.0
40,-130.88030555555557,54.29466666666666,TRIPLE ISLAND,station_446_data.csv,BC,1989-06-01,2022-01-08,0.9888681093596936,0.9959925193694897,0.9969721257458367,0.35345979161100727,0.32407160032059845,0.0,0.0
41,-102.73333333333332,50.2,KIPLING,station_2933_data.csv,SK,1949-05-01,2022-01-08,0.9589278973197433,0.9689694224235561,0.9999244998112495,0.0,0.0,0.0,0.0
42,-125.2161111111111,48.78611111111111,CAPE BEALE LIGHT,station_235_data.csv,BC,1984-10-01,2022-01-07,0.999630368891846,0.9999260737783692,0.999630368891846,0.0,0.0,0.0,0.0
43,-120.5125,49.467777777777776,PRINCETON A,station_1056_data.csv,BC,1936-11-01,2022-01-06,0.9973791496796739,0.9975085743868505,0.9984469035138808,0.04241894777713062,0.04241894777713062,0.16627839254513688,0.16627839254513688
44,-83.09446333333334,42.10335833333333,AMHERSTBURG,station_4607_data.csv,ON,1988-07-01,2022-01-08,0.9585266283169419,0.9810725552050473,0.9991649656708109,0.0,0.0,0.0,0.0
45,-99.53000083333332,50.71194472222222,MCCREARY,station_3853_data.csv,MB,1971-05-01,2022-01-08,0.9897163888287508,0.9923684780255466,0.987064299631955,0.25357220177527606,0.25357220177527606,0.18207404200043298,0.18207404200043298
46,-126.61666666666666,49.6,NOOTKA LIGHTSTATION,station_261_data.csv,BC,1978-11-01,2022-01-03,0.9996132026817948,0.9998066013408974,0.9996132026817948,0.0,0.0,0.0,0.0
47,-64.65,45.05,WATERVILLE CAMBRIDGE,station_6497_data.csv,NS,1980-05-01,2022-01-06,0.9986788215087858,0.9986127625842252,0.9998018232263178,0.0,0.0,0.0,0.0
48,-71.8236111111111,45.36888888888889,LENNOXVILLE,station_5397_data.csv,QC,1888-11-01,2022-01-08,0.9857508765821998,0.9865963743068162,0.9878148857334693,0.21751672344764128,0.21751672344764128,0.18285131673836819,0.1827767139979608
49,-116.06138888888889,50.630805555555554,KOOTENAY NP WEST GATE,station_1199_data.csv,BC,1968-11-01,2022-01-08,0.9899397490464872,0.9939196285445802,0.9988392018130562,0.0,0.0,0.0,0.0
